Name,Cumulative through,Designer,Series start date,End date,Logic wafers (5th percentile),Logic wafers (median),Logic wafers (95th percentile),Logic cost (USD) (5th percentile),Logic cost (USD) (median),Logic cost (USD) (95th percentile),CoWoS wafers (5th percentile),CoWoS wafers (median),CoWoS wafers (95th percentile),CoWoS cost (USD) (5th percentile),CoWoS cost (USD) (median),CoWoS cost (USD) (95th percentile),HBM cost (USD) (5th percentile),HBM cost (USD) (median),HBM cost (USD) (95th percentile),Auxiliary cost (USD) (5th percentile),Auxiliary cost (USD) (median),Auxiliary cost (USD) (95th percentile)
AMD cumulative through Q3 2024,Q3 2024,AMD,2024-01-01,2024-09-30,6577.28900430811,7161.5566348282855,7801.259391872323,99799905.97195151,125149115.09178516,155529041.75583005,29810.611533545878,32398.092874383838,35142.472496405535,283305658.5687693,388189836.7352104,516046772.8912987,984519327.1865083,1082746956.7687063,1190429937.8518221,106885044.72792308,116639048.28704235,126712717.89585759
AMD cumulative through Q4 2024,Q4 2024,AMD,2024-01-01,2024-12-31,9981.646888702799,10652.852785155203,11367.876397796354,151760523.62006992,186059008.20998237,226619646.7993775,45783.05003654979,48908.653356513525,52255.516268277475,434726583.2094587,585749105.0488062,767933143.69259,1545563619.7738283,1673553991.7798834,1811846714.4572477,189384794.5162744,205753111.6296702,224203202.23401967
AMD cumulative through Q1 2025,Q1 2025,AMD,2024-01-01,2025-03-31,12890.164231089095,13598.231201741004,14314.298805449795,197946210.68235847,237991715.70611104,282842180.2601067,59648.95188289362,62932.37757877805,66295.1856947883,572097821.225987,754845571.1662095,964434777.6046689,2050780724.9430158,2198292122.416935,2353185395.763646,274095330.58909047,291117213.0998744,309019886.2237513
AMD cumulative through Q2 2025,Q2 2025,AMD,2024-01-01,2025-06-30,15671.635105218806,16479.93522462473,17315.146999689565,239123887.69432053,291262951.21740997,349697848.7625803,72297.17330027817,75979.1999228122,79776.80626895791,688002684.9173014,911122509.5198904,1169237976.6658933,2589094822.9986243,2768345924.2767415,2957255858.774749,343462741.02299374,361169678.5484382,379476041.54536843
AMD cumulative through Q3 2025,Q3 2025,AMD,2024-01-01,2025-09-30,18509.827763146335,19569.533502488594,20707.982298226554,283051009.23236215,350786176.6759496,426242982.16654694,84859.33797019477,89539.08046410952,94508.07470367789,803528233.3145369,1073747048.7592094,1391140656.0043643,3200520835.4470487,3446668462.668,3719860380.5016007,422393389.3402748,445338479.57990515,469039848.2798769
AMD cumulative through Q4 2025,Q4 2025,AMD,2024-01-01,2025-12-31,21518.616357875082,23027.255234878987,24646.09483972396,330590215.4075616,417385205.50156176,514948671.64318013,98029.67275668995,104547.63491950654,111528.42937971115,927517820.0534277,1253145934.218676,1643679074.63622,3895225618.634205,4269080131.940967,4692742161.272943,512832264.52153134,546781041.4989194,583212917.4679024
AMD cumulative through Q1 2026,Q1 2026,AMD,2024-01-01,2026-03-31,22193.783140332594,23841.54004346818,25605.83848593393,341551860.7688937,433197469.24461114,536675124.8076996,102394.88775206785,109760.00203758146,117645.61002063919,969004567.3784821,1315119696.7713866,1734493645.6981442,4185366275.2186747,4649312381.812286,5167719022.561033,612373519.6264926,664213285.7225713,719902495.5956337
Google cumulative through Q1 2024,Q1 2024,Google,2024-01-01,2024-03-31,4435.284210216598,5104.858887721535,5815.378267948521,66515489.79986132,89177305.81155717,116496927.32066043,9230.564140054432,10522.737656768153,11903.030598591375,87452842.06105377,126095006.58143184,173947961.28705472,195592919.99569243,238056554.20905635,286349275.2064314,114910956.10210471,135304120.81921077,157291794.92933148
Google cumulative through Q2 2024,Q2 2024,Google,2024-01-01,2024-06-30,9944.597463899832,11168.636220463664,12427.614592591277,147517022.56538555,195015792.37160563,251304388.53116354,19953.9555102019,22347.140263011028,24863.203188213927,187342310.40948752,267792794.07945898,366135024.67997056,436538383.8020645,525452116.80616224,623568234.3505156,250427270.84048837,283002205.5022298,316988100.13468874
Google cumulative through Q3 2024,Q3 2024,Google,2024-01-01,2024-09-30,17114.765678928234,18800.061892744456,20565.449887615836,255019493.1338109,328672664.2155508,414555230.0291703,32604.509738841836,35842.28294722288,39237.85669477189,306299298.83042055,429871136.28051984,578939425.3223213,713575217.8457376,841443603.8512695,982481156.7272472,401566151.60817033,446136980.9364104,491909991.0662679
